data,5yr-max,current,5yr-min
06/16/2017,3094,,1766
06/9/2017,3031,,1655
06/2/2017,2963,,1545
05/26/2017,2895,,1431
05/19/2017,2815,,1315
05/12/2017,2744,,1206
05/5/2017,2673,2301,1100
04/28/2017,2615,2256,1013
04/21/2017,2550,2189,934
04/14/2017,2509,2115,871
04/7/2017,2482,2061,837
03/31/2017,2478,2051,825
03/24/2017,2472,2049,865
03/17/2017,2491,2092,928
03/10/2017,2478,2242,981
03/3/2017,2487,2295,1113
02/24/2017,2550,2363,1283
02/17/2017,2617,2356,1403
02/10/2017,2761,2445,1586
02/3/2017,2888,2559,1825
01/27/2017,2977,2711,2073
01/20/2017,3146,2798,2321
01/13/2017,3348,2917,2484
01/6/2017,3523,3160,2694
12/30/2016,3675,3311,2907
12/23/2016,3773,3360,3030
12/16/2016,3823,3597,3172
12/9/2016,3856,3806,3323
12/2/2016,3902,3953,3381
11/25/2016,3971,3995,3419
11/18/2016,4006,4045,3501
11/11/2016,3996,4047,3601
11/4/2016,3970,4017,3594
10/28/2016,3915,3963,3532
10/21/2016,3861,3909,3443
10/14/2016,3795,3836,3352
10/7/2016,3740,3759,3258
09/30/2016,3675,3680,3160
09/23/2016,3598,3600,3051
09/16/2016,3519,3551,2946
09/9/2016,3448,3499,2852
09/2/2016,3410,3437,2762
08/26/2016,3382,3401,2676
08/19/2016,3327,3350,2598
08/12/2016,3274,3339,2517
08/5/2016,3246,3317,2433
07/29/2016,3224,3288,2353
07/22/2016,3198,3294,2269
07/15/2016,3171,3277,2180
07/8/2016,3143,3243,2083
07/1/2016,3111,3179,1982
06/24/2016,3074,3140,1886
06/17/2016,3022,3103,1782
06/10/2016,2962,3041,1671
06/3/2016,2896,2972,1561
05/27/2016,2833,2907,1448
05/20/2016,2764,2825,1332
05/13/2016,2689,2754,1221
05/6/2016,2623,2681,1115
04/29/2016,2585,2625,1023
04/22/2016,2555,2557,946
04/15/2016,2515,2484,878
04/8/2016,2485,2477,840
04/1/2016,2474,2480,826
03/25/2016,2441,2468,854
03/18/2016,2394,2493,920
03/11/2016,2372,2478,974
03/4/2016,2415,2479,1085
02/26/2016,2490,2536,1239
02/19/2016,2572,2584,1375
02/12/2016,2714,2701,1515
02/5/2016,2852,2864,1759
01/29/2016,2944,2934,1998
01/22/2016,3060,3086,2253
01/15/2016,3235,3297,2454
01/8/2016,3352,3475,2611
01/1/2016,3444,3643,2862
12/25/2015,3575,3756,3002
12/18/2015,3683,3814,3122
12/11/2015,3759,3846,3304
12/4/2015,3805,3880,3366
11/27/2015,3845,3956,3413
11/20/2015,3875,4009,3455
11/13/2015,3889,4000,3596
11/6/2015,3919,3978,3605
10/30/2015,3920,3929,3558
10/23/2015,3880,3877,3468
10/16/2015,3814,3814,3380
10/9/2015,3754,3733,3286
10/2/2015,3694,3633,3190
09/25/2015,3620,3538,3084
09/18/2015,3542,3440,2974
09/11/2015,3467,3334,2878
09/4/2015,3417,3261,2788
08/28/2015,3390,3193,2698
08/21/2015,3346,3099,2619
08/14/2015,3288,3030,2542
08/7/2015,3252,2977,2456
07/31/2015,3231,2912,2377
07/24/2015,3205,2880,2294
07/17/2015,3178,2828,2206
07/10/2015,3151,2767,2114
07/3/2015,3121,2668,2009
06/26/2015,3085,2577,1915
06/19/2015,3039,2508,1813
06/12/2015,2979,2433,1703
06/5/2015,2915,2344,1591
05/29/2015,2850,2233,1482
05/22/2015,2785,2101,1364
05/15/2015,2711,1989,1251 
